阿魏,a'wei
大肺筋草,da'fei'jin'cao
大飞扬,da'fei'yang
大飞扬草,da'fei'yang'cao
大风子,da'feng'zi
大腹蔻通合煎灵,da'fu'kou'tong'he'jian'ling
大腹皮,da'fu'pi
大海,da'hai
大寒犯肺证,da'han'fan'fei'zheng
大寒肺热证,da'han'fei're'zheng
大红袍,da'hong'pao
大黄,da'huang
大黄错虫丸,da'huang'cuo'chong'wan
大黄附子汤,da'huang'fu'zi'tang
大黄牡丹汤,da'huang'mu'dan'tang
大黄庶虫丸,da'huang'shu'chong'wan
大黄炭,da'huang'tan
大茴香,da'hui'xiang
大活络丹,da'huo'luo'dan
大活络胶囊,da'huo'luo'jiao'nang
大活血,da'huo'xue
大戟,da'ji
大蓟,da'ji
大蓟草,da'ji'cao
大蓟根,da'ji'gen
大蓟炭,da'ji'tan
大瘕泄,da'jia'xie
大建中汤,da'jian'zhong'tang
大结胸证,da'jie'xiong'zheng
大厥,da'jue
大力参,da'li'can
大力子,da'li'zi
大马勃,da'ma'bo
大麻仁,da'ma'ren
打破碗花花,da'po'wan'hua'hua
大秦艽汤,da'qin'jiao'tang
大青龙汤,da'qing'long'tang
大青龙汤桂麻黄,da'qing'long'tang'gui'ma'huang
大青盐,da'qing'yan
大青叶,da'qing'ye
大热,da're
大生地,da'sheng'di
大实有羸状,da'shi'you'lei'zhuang
大熟地,da'shu'di
大蒜,da'suan
大头陈,da'tou'chen
大头瘟,da'tou'wen
大头瘟病,da'tou'wen'bing
大小蓟,da'xiao'ji
大血藤,da'xue'teng
大血藤红藤,da'xue'teng'hong'teng
大医精诚,da'yi'jing'cheng
大芸,da'yun
大枣,da'zao
大枣阿胶加酒服,da'zao'e'jiao'jia'jiu'fu
