明经,ming'jing
明经科,ming'jing'ke
明刻,ming'ke
明刻本,ming'ke'ben
名理,ming'li
明儒,ming'ru
明史,ming'shi
明修本,ming'xiu'ben
明轩书店,ming'xuan'shu'dian
墨笔,mo'bi
墨色不均,mo'se'bu'jun
墨书,mo'shu
墨学,mo'xue
默识,mo'zhi
某个出版社,mou'ge'chu'ban'she
木板刷印,mu'ban'shua'yin
木活字,mu'huo'zi
目录提要,mu'lu'ti'yao
奈良时代,nai'liang'shi'dai
南朝陈,nan'chao'chen
南朝梁,nan'chao'liang
南朝齐,nan'chao'qi
南朝宋,nan'chao'song
南海出版公司,nan'hai'chu'ban'gong'si
南华经,nan'hua'jing
南华真经,nan'hua'zhen'jing
南京大学出版社,nan'jing'da'xue'chu'ban'she
南开大学出版社,nan'kai'da'xue'chu'ban'she
南宋刊,nan'song'kan
内编,nei'bian
内蒙古大学出版社,nei'meng'gu'da'xue'chu'ban'she
内蒙古人民出版社,nei'meng'gu'ren'min'chu'ban'she
内藤湖南,nei'teng'hu'nan
拟易,ni'yi
年版,nian'ban
年谱长编,nian'pu'chang'bian
鸟虫篆,niao'chong'zhuan
宁波出版社,ning'bo'chu'ban'she
宁夏人民出版社,ning'xia'ren'min'chu'ban'she
女学,nv'xue
排印,pai'yin
排印本,pai'yin'ben
旁释,pang'shi
旁注,pang'zhu
佩文,pei'wen
佩文诗韵,pei'wen'shi'yun
佩文韵府,pei'wen'yun'fu
批校,pi'jiao
批解,pi'jie
纰戾,pi'li
批评史,pi'ping'shi
批销,pi'xiao
缥缃,piao'xiang
品次,pin'ci
品佳,pin'jia
品劣,pin'lie
品相,pin'xiang
品优,pin'you
平安时代,ping'an'shi'dai
评介,ping'jie
评论社,ping'lun'she
平议,ping'yi
评注,ping'zhu
评传,ping'zhuan
七古,qi'gu
齐鲁书社,qi'lu'shu'she
